Date,Age Range,Gender,Segment,Product,Total Customers,Region,Language Preference
2/1/2024,18-34,Female,Content & Complacent,Basic,828,Midwest,Spanish
2/1/2024,18-34,Female,Content & Complacent,Enhanced,741,West,English
2/1/2024,18-34,Female,Content & Complacent,Premium,805,West,English
2/1/2024,18-34,Female,Unengaged,Basic,826,Northeast,Spanish
2/1/2024,18-34,Female,Unengaged,Enhanced,833,West,English
2/1/2024,18-34,Female,Unengaged,Premium,702,Northeast,English
2/1/2024,35-49,Male,Highly Engaged,Basic,746,Northeast,Chinese
2/1/2024,35-49,Male,Highly Engaged,Enhanced,810,Northeast,English
2/1/2024,35-49,Male,Highly Engaged,Premium,735,Northeast,English
2/1/2024,35-49,Male,Reactive Engagers,Basic,790,Northeast,English
2/1/2024,35-49,Male,Reactive Engagers,Enhanced,742,Northeast,English
2/1/2024,35-49,Male,Reactive Engagers,Premium,736,South,Spanish
2/1/2024,35-49,Male,Content & Complacent,Basic,764,West,English
2/1/2024,35-49,Male,Content & Complacent,Enhanced,787,West,English
2/1/2024,35-49,Male,Content & Complacent,Premium,793,South,English
2/1/2024,35-49,Male,Unengaged,Basic,705,Northeast,English
2/1/2024,35-49,Male,Unengaged,Enhanced,804,South,Vietnamese
2/1/2024,35-49,Male,Unengaged,Premium,777,South,Spanish
2/1/2024,35-49,Female,Highly Engaged,Basic,685,South,English
2/1/2024,35-49,Female,Highly Engaged,Enhanced,763,Northeast,English
2/1/2024,35-49,Female,Highly Engaged,Premium,689,Midwest,English
2/1/2024,35-49,Female,Reactive Engagers,Basic,687,West,Spanish
2/1/2024,35-49,Female,Reactive Engagers,Enhanced,790,Midwest,English
2/1/2024,35-49,Female,Reactive Engagers,Premium,817,West,English
2/1/2024,35-49,Female,Content & Complacent,Basic,827,Northeast,English
2/1/2024,35-49,Female,Content & Complacent,Enhanced,686,Midwest,English
2/1/2024,35-49,Female,Content & Complacent,Premium,794,Midwest,English
2/1/2024,35-49,Female,Unengaged,Basic,760,Midwest,English
2/1/2024,35-49,Female,Unengaged,Enhanced,704,Midwest,Chinese
2/1/2024,35-49,Female,Unengaged,Premium,769,West,English
2/1/2024,50-64,Male,Highly Engaged,Basic,795,West,English
2/1/2024,50-64,Male,Highly Engaged,Enhanced,750,West,Spanish
2/1/2024,50-64,Male,Highly Engaged,Premium,737,South,English
2/1/2024,50-64,Male,Reactive Engagers,Basic,777,South,English
2/1/2024,50-64,Male,Reactive Engagers,Enhanced,792,South,Spanish
2/1/2024,50-64,Male,Reactive Engagers,Premium,675,Midwest,English
2/1/2024,50-64,Male,Content & Complacent,Basic,829,Midwest,English
2/1/2024,50-64,Male,Content & Complacent,Enhanced,816,West,Vietnamese
2/1/2024,50-64,Male,Content & Complacent,Premium,800,Northeast,English
2/1/2024,50-64,Male,Unengaged,Basic,778,Northeast,Spanish
2/1/2024,50-64,Male,Unengaged,Enhanced,683,Northeast,English
2/1/2024,50-64,Male,Unengaged,Premium,678,South,Spanish
2/1/2024,50-64,Female,Highly Engaged,Basic,675,Midwest,English
2/1/2024,50-64,Female,Highly Engaged,Enhanced,718,South,Spanish
2/1/2024,50-64,Female,Highly Engaged,Premium,808,West,English
2/1/2024,50-64,Female,Reactive Engagers,Basic,820,Northeast,Spanish
2/1/2024,50-64,Female,Reactive Engagers,Enhanced,744,South,English
2/1/2024,50-64,Female,Reactive Engagers,Premium,803,Northeast,Spanish
2/1/2024,50-64,Female,Content & Complacent,Basic,682,West,English
2/1/2024,50-64,Female,Content & Complacent,Enhanced,802,Midwest,English
2/1/2024,50-64,Female,Content & Complacent,Premium,683,West,English
2/1/2024,50-64,Female,Unengaged,Basic,788,South,Spanish
2/1/2024,50-64,Female,Unengaged,Enhanced,756,Northeast,English
2/1/2024,50-64,Female,Unengaged,Premium,688,West,English
2/1/2024,65+,Male,Highly Engaged,Basic,800,Midwest,English
2/1/2024,65+,Male,Highly Engaged,Enhanced,792,West,Vietnamese
2/1/2024,65+,Male,Highly Engaged,Premium,673,West,English
2/1/2024,65+,Male,Reactive Engagers,Basic,713,Midwest,English
2/1/2024,65+,Male,Reactive Engagers,Enhanced,784,Northeast,English
2/1/2024,65+,Male,Reactive Engagers,Premium,808,Northeast,English
2/1/2024,65+,Male,Content & Complacent,Basic,678,Midwest,Spanish
2/1/2024,65+,Male,Content & Complacent,Enhanced,693,South,English
2/1/2024,65+,Male,Content & Complacent,Premium,727,Midwest,Vietnamese
2/1/2024,65+,Male,Unengaged,Basic,834,South,Spanish
2/1/2024,65+,Male,Unengaged,Enhanced,675,West,English
2/1/2024,65+,Male,Unengaged,Premium,713,West,Chinese
2/1/2024,65+,Female,Highly Engaged,Basic,684,West,English
2/1/2024,65+,Female,Highly Engaged,Enhanced,792,Northeast,English
2/1/2024,65+,Female,Highly Engaged,Premium,685,Northeast,English
2/1/2024,65+,Female,Reactive Engagers,Basic,779,Northeast,English
2/1/2024,65+,Female,Reactive Engagers,Enhanced,828,Northeast,English
2/1/2024,65+,Female,Reactive Engagers,Premium,699,West,Vietnamese
2/1/2024,65+,Female,Content & Complacent,Basic,683,Midwest,English
2/1/2024,65+,Female,Content & Complacent,Enhanced,745,South,Spanish
2/1/2024,65+,Female,Content & Complacent,Premium,694,Northeast,Spanish
2/1/2024,65+,Female,Unengaged,Basic,755,Northeast,English
2/1/2024,65+,Female,Unengaged,Enhanced,729,Midwest,Spanish
2/1/2024,65+,Female,Unengaged,Premium,826,South,English
3/1/2024,18-34,Male,Highly Engaged,Basic,121,South,Spanish
3/1/2024,18-34,Male,Highly Engaged,Enhanced,125,Northeast,English
3/1/2024,18-34,Male,Highly Engaged,Premium,179,West,English
3/1/2024,18-34,Male,Reactive Engagers,Basic,146,Midwest,Spanish
3/1/2024,18-34,Male,Reactive Engagers,Enhanced,188,Midwest,Vietnamese
3/1/2024,18-34,Male,Reactive Engagers,Premium,154,Northeast,Spanish
3/1/2024,18-34,Male,Content & Complacent,Basic,220,Midwest,English
3/1/2024,18-34,Male,Content & Complacent,Enhanced,206,West,Spanish
3/1/2024,18-34,Male,Content & Complacent,Premium,187,Midwest,English
3/1/2024,18-34,Male,Unengaged,Basic,161,South,Vietnamese
3/1/2024,18-34,Male,Unengaged,Enhanced,199,West,English
3/1/2024,18-34,Male,Unengaged,Premium,171,Northeast,English
3/1/2024,18-34,Female,Highly Engaged,Basic,171,Northeast,Spanish
3/1/2024,18-34,Female,Highly Engaged,Enhanced,185,West,English
3/1/2024,18-34,Female,Highly Engaged,Premium,157,West,Spanish
3/1/2024,18-34,Female,Reactive Engagers,Basic,125,Midwest,Spanish
3/1/2024,18-34,Female,Reactive Engagers,Enhanced,172,West,Spanish
3/1/2024,18-34,Female,Reactive Engagers,Premium,121,Northeast,English
3/1/2024,18-34,Female,Content & Complacent,Basic,165,West,English
3/1/2024,18-34,Female,Content & Complacent,Enhanced,105,Midwest,English
3/1/2024,18-34,Female,Content & Complacent,Premium,128,Northeast,English
3/1/2024,18-34,Female,Unengaged,Basic,129,Midwest,English
3/1/2024,18-34,Female,Unengaged,Enhanced,154,South,English
3/1/2024,18-34,Female,Unengaged,Premium,202,Midwest,English
3/1/2024,35-49,Male,Highly Engaged,Basic,206,West,English
3/1/2024,35-49,Male,Highly Engaged,Enhanced,188,South,English
3/1/2024,35-49,Male,Highly Engaged,Premium,172,South,English
3/1/2024,35-49,Male,Reactive Engagers,Basic,163,South,Chinese
3/1/2024,35-49,Male,Reactive Engagers,Enhanced,136,South,Spanish
3/1/2024,35-49,Male,Reactive Engagers,Premium,150,South,English
3/1/2024,35-49,Male,Content & Complacent,Basic,212,South,Vietnamese
3/1/2024,35-49,Male,Content & Complacent,Enhanced,123,South,English
3/1/2024,35-49,Male,Content & Complacent,Premium,141,Northeast,English
3/1/2024,35-49,Male,Unengaged,Basic,201,Midwest,English
3/1/2024,35-49,Male,Unengaged,Enhanced,166,Northeast,English
3/1/2024,35-49,Male,Unengaged,Premium,114,South,English
3/1/2024,35-49,Female,Highly Engaged,Basic,151,West,English
3/1/2024,35-49,Female,Highly Engaged,Enhanced,112,Northeast,English
3/1/2024,35-49,Female,Highly Engaged,Premium,141,West,English
3/1/2024,35-49,Female,Reactive Engagers,Basic,194,Northeast,English
3/1/2024,35-49,Female,Reactive Engagers,Enhanced,156,West,English
3/1/2024,35-49,Female,Reactive Engagers,Premium,129,South,Spanish
3/1/2024,35-49,Female,Content & Complacent,Basic,139,West,Spanish
3/1/2024,35-49,Female,Content & Complacent,Enhanced,206,West,Spanish
3/1/2024,35-49,Female,Content & Complacent,Premium,129,Midwest,English
3/1/2024,35-49,Female,Unengaged,Basic,191,South,Spanish
3/1/2024,35-49,Female,Unengaged,Enhanced,156,Northeast,English
3/1/2024,35-49,Female,Unengaged,Premium,194,South,English
3/1/2024,50-64,Male,Highly Engaged,Basic,199,West,English
3/1/2024,50-64,Male,Highly Engaged,Enhanced,178,Northeast,English
3/1/2024,50-64,Male,Highly Engaged,Premium,109,West,English
3/1/2024,50-64,Male,Reactive Engagers,Basic,135,South,English
3/1/2024,50-64,Male,Reactive Engagers,Enhanced,159,South,English
3/1/2024,50-64,Male,Reactive Engagers,Premium,151,West,Spanish
3/1/2024,50-64,Male,Content & Complacent,Basic,188,Midwest,English
3/1/2024,50-64,Male,Content & Complacent,Enhanced,122,Northeast,English
3/1/2024,50-64,Male,Content & Complacent,Premium,140,Northeast,English
3/1/2024,50-64,Male,Unengaged,Basic,162,South,English
3/1/2024,50-64,Male,Unengaged,Enhanced,191,Northeast,English
3/1/2024,50-64,Male,Unengaged,Premium,163,South,English
3/1/2024,50-64,Female,Highly Engaged,Basic,186,Northeast,English
3/1/2024,50-64,Female,Highly Engaged,Enhanced,174,Midwest,English
3/1/2024,50-64,Female,Highly Engaged,Premium,210,Northeast,English
3/1/2024,50-64,Female,Reactive Engagers,Basic,128,South,English
3/1/2024,50-64,Female,Reactive Engagers,Enhanced,183,Northeast,English
3/1/2024,50-64,Female,Reactive Engagers,Premium,148,West,English
3/1/2024,50-64,Female,Content & Complacent,Basic,123,West,Chinese
3/1/2024,50-64,Female,Content & Complacent,Enhanced,132,Northeast,English
3/1/2024,50-64,Female,Content & Complacent,Premium,177,Midwest,English
3/1/2024,50-64,Female,Unengaged,Basic,136,Northeast,English
3/1/2024,50-64,Female,Unengaged,Enhanced,167,Northeast,English
3/1/2024,50-64,Female,Unengaged,Premium,205,Northeast,English
3/1/2024,65+,Male,Highly Engaged,Basic,207,Northeast,English
3/1/2024,65+,Male,Highly Engaged,Enhanced,155,South,Spanish
3/1/2024,65+,Male,Highly Engaged,Premium,166,West,English
3/1/2024,65+,Male,Reactive Engagers,Basic,170,Northeast,English
3/1/2024,65+,Male,Reactive Engagers,Enhanced,231,South,English
3/1/2024,65+,Male,Reactive Engagers,Premium,186,Midwest,English
3/1/2024,65+,Male,Content & Complacent,Basic,164,Northeast,Chinese
3/1/2024,65+,Male,Content & Complacent,Enhanced,175,Northeast,English
3/1/2024,65+,Male,Content & Complacent,Premium,191,Midwest,English
3/1/2024,65+,Male,Unengaged,Basic,171,Northeast,English
3/1/2024,65+,Male,Unengaged,Enhanced,121,Midwest,English
3/1/2024,65+,Male,Unengaged,Premium,189,West,English
3/1/2024,65+,Female,Highly Engaged,Basic,116,Northeast,English
3/1/2024,65+,Female,Highly Engaged,Enhanced,178,Midwest,English
3/1/2024,65+,Female,Highly Engaged,Premium,175,Northeast,English
3/1/2024,65+,Female,Reactive Engagers,Basic,198,South,Chinese
3/1/2024,65+,Female,Reactive Engagers,Enhanced,204,Northeast,English
3/1/2024,65+,Female,Reactive Engagers,Premium,189,Midwest,Vietnamese
3/1/2024,65+,Female,Content & Complacent,Basic,167,Northeast,English
3/1/2024,65+,Female,Content & Complacent,Enhanced,143,West,Spanish
3/1/2024,65+,Female,Content & Complacent,Premium,163,South,English
3/1/2024,65+,Female,Unengaged,Basic,210,South,English
3/1/2024,65+,Female,Unengaged,Enhanced,233,Midwest,English
3/1/2024,65+,Female,Unengaged,Premium,147,Midwest,Spanish
4/1/2024,18-34,Male,Highly Engaged,Basic,129,West,English
4/1/2024,18-34,Male,Highly Engaged,Enhanced,113,Midwest,English
4/1/2024,18-34,Male,Highly Engaged,Premium,184,Northeast,English
4/1/2024,18-34,Male,Reactive Engagers,Basic,217,Midwest,English
4/1/2024,18-34,Male,Reactive Engagers,Enhanced,153,West,English
4/1/2024,18-34,Male,Reactive Engagers,Premium,185,Northeast,Chinese
4/1/2024,18-34,Male,Content & Complacent,Basic,211,Northeast,English
4/1/2024,18-34,Male,Content & Complacent,Enhanced,154,South,English
4/1/2024,18-34,Male,Content & Complacent,Premium,201,Northeast,English
4/1/2024,18-34,Male,Unengaged,Basic,169,West,Spanish
4/1/2024,18-34,Male,Unengaged,Enhanced,168,South,English
4/1/2024,18-34,Male,Unengaged,Premium,132,Midwest,English
4/1/2024,18-34,Female,Highly Engaged,Basic,119,West,Vietnamese
4/1/2024,18-34,Female,Highly Engaged,Enhanced,148,Northeast,Spanish
4/1/2024,18-34,Female,Highly Engaged,Premium,146,West,English
4/1/2024,18-34,Female,Reactive Engagers,Basic,139,South,Spanish
4/1/2024,18-34,Female,Reactive Engagers,Enhanced,128,Midwest,English
4/1/2024,18-34,Female,Reactive Engagers,Premium,121,South,English
4/1/2024,18-34,Female,Content & Complacent,Basic,182,West,English
4/1/2024,18-34,Female,Content & Complacent,Enhanced,173,Northeast,English
4/1/2024,18-34,Female,Content & Complacent,Premium,133,West,English
4/1/2024,18-34,Female,Unengaged,Basic,123,West,English
4/1/2024,18-34,Female,Unengaged,Enhanced,179,South,Vietnamese
4/1/2024,18-34,Female,Unengaged,Premium,190,Northeast,English
4/1/2024,35-49,Male,Highly Engaged,Basic,181,West,English
4/1/2024,35-49,Male,Highly Engaged,Enhanced,204,West,English
4/1/2024,35-49,Male,Highly Engaged,Premium,117,Midwest,Spanish
4/1/2024,35-49,Male,Reactive Engagers,Basic,173,South,English
4/1/2024,35-49,Male,Reactive Engagers,Enhanced,215,West,Spanish
4/1/2024,35-49,Male,Reactive Engagers,Premium,155,South,English
4/1/2024,35-49,Male,Content & Complacent,Basic,162,South,English
4/1/2024,35-49,Male,Content & Complacent,Enhanced,121,West,English
4/1/2024,35-49,Male,Content & Complacent,Premium,146,West,Spanish
4/1/2024,35-49,Male,Unengaged,Basic,175,South,English
4/1/2024,35-49,Male,Unengaged,Enhanced,207,South,English
4/1/2024,35-49,Male,Unengaged,Premium,205,South,English
4/1/2024,35-49,Female,Highly Engaged,Basic,203,South,English
4/1/2024,35-49,Female,Highly Engaged,Enhanced,146,South,English
4/1/2024,35-49,Female,Highly Engaged,Premium,179,West,English
4/1/2024,35-49,Female,Reactive Engagers,Basic,117,Midwest,English
4/1/2024,35-49,Female,Reactive Engagers,Enhanced,143,West,Spanish
4/1/2024,35-49,Female,Reactive Engagers,Premium,114,Midwest,Spanish
4/1/2024,35-49,Female,Content & Complacent,Basic,132,West,English
4/1/2024,35-49,Female,Content & Complacent,Enhanced,210,West,English
4/1/2024,35-49,Female,Content & Complacent,Premium,150,Midwest,English
4/1/2024,35-49,Female,Unengaged,Basic,185,Midwest,English
4/1/2024,35-49,Female,Unengaged,Enhanced,215,South,English
4/1/2024,35-49,Female,Unengaged,Premium,138,Midwest,Spanish
4/1/2024,50-64,Male,Highly Engaged,Basic,186,Midwest,English
4/1/2024,50-64,Male,Highly Engaged,Enhanced,199,Northeast,English
4/1/2024,50-64,Male,Highly Engaged,Premium,141,South,English
4/1/2024,50-64,Male,Reactive Engagers,Basic,150,West,Spanish
4/1/2024,50-64,Male,Reactive Engagers,Enhanced,197,South,English
4/1/2024,50-64,Male,Reactive Engagers,Premium,189,Midwest,English
4/1/2024,50-64,Male,Content & Complacent,Basic,135,West,Spanish
4/1/2024,50-64,Male,Content & Complacent,Enhanced,158,West,English
4/1/2024,50-64,Male,Content & Complacent,Premium,127,Northeast,English
4/1/2024,50-64,Male,Unengaged,Basic,192,Midwest,English
4/1/2024,50-64,Male,Unengaged,Enhanced,196,South,English
4/1/2024,50-64,Male,Unengaged,Premium,176,West,English
4/1/2024,50-64,Female,Highly Engaged,Basic,216,Northeast,English
4/1/2024,50-64,Female,Highly Engaged,Enhanced,175,Midwest,Spanish
4/1/2024,50-64,Female,Highly Engaged,Premium,180,West,English
4/1/2024,50-64,Female,Reactive Engagers,Basic,113,Midwest,English
4/1/2024,50-64,Female,Reactive Engagers,Enhanced,132,Midwest,English
4/1/2024,50-64,Female,Reactive Engagers,Premium,188,Northeast,Vietnamese
4/1/2024,50-64,Female,Content & Complacent,Basic,187,South,English
4/1/2024,50-64,Female,Content & Complacent,Enhanced,201,Midwest,English
4/1/2024,50-64,Female,Content & Complacent,Premium,138,Midwest,English
4/1/2024,50-64,Female,Unengaged,Basic,160,West,English
4/1/2024,50-64,Female,Unengaged,Enhanced,202,South,English
4/1/2024,50-64,Female,Unengaged,Premium,119,Midwest,English
4/1/2024,65+,Male,Highly Engaged,Basic,163,South,English
4/1/2024,65+,Male,Highly Engaged,Enhanced,110,South,English
4/1/2024,65+,Male,Highly Engaged,Premium,141,Northeast,English
4/1/2024,65+,Male,Reactive Engagers,Basic,202,Midwest,English
4/1/2024,65+,Male,Reactive Engagers,Enhanced,113,Midwest,English
4/1/2024,65+,Male,Reactive Engagers,Premium,212,Midwest,Spanish
4/1/2024,65+,Male,Content & Complacent,Basic,231,Northeast,Vietnamese
4/1/2024,65+,Male,Content & Complacent,Enhanced,191,Northeast,Vietnamese
4/1/2024,65+,Male,Content & Complacent,Premium,171,Northeast,English
4/1/2024,65+,Male,Unengaged,Basic,121,South,English
4/1/2024,65+,Male,Unengaged,Enhanced,148,Midwest,English
4/1/2024,65+,Male,Unengaged,Premium,170,Midwest,English
4/1/2024,65+,Female,Highly Engaged,Basic,135,Northeast,Spanish
4/1/2024,65+,Female,Highly Engaged,Enhanced,180,West,English
4/1/2024,65+,Female,Highly Engaged,Premium,165,Northeast,English
4/1/2024,65+,Female,Reactive Engagers,Basic,158,South,English
4/1/2024,65+,Female,Reactive Engagers,Enhanced,180,Midwest,Spanish
4/1/2024,65+,Female,Reactive Engagers,Premium,191,West,English
4/1/2024,65+,Female,Content & Complacent,Basic,163,Midwest,Spanish
4/1/2024,65+,Female,Content & Complacent,Enhanced,129,Northeast,English
4/1/2024,65+,Female,Content & Complacent,Premium,180,Midwest,English
4/1/2024,65+,Female,Unengaged,Basic,127,Midwest,English
4/1/2024,65+,Female,Unengaged,Enhanced,112,West,English
4/1/2024,65+,Female,Unengaged,Premium,162,Midwest,Chinese
5/1/2024,18-34,Male,Highly Engaged,Basic,144,Midwest,Spanish
5/1/2024,18-34,Male,Highly Engaged,Enhanced,126,South,Spanish
5/1/2024,18-34,Male,Highly Engaged,Premium,187,South,English
5/1/2024,18-34,Male,Reactive Engagers,Basic,131,Midwest,English
5/1/2024,18-34,Male,Reactive Engagers,Enhanced,121,Northeast,English
5/1/2024,18-34,Male,Reactive Engagers,Premium,158,Midwest,English
5/1/2024,18-34,Male,Content & Complacent,Basic,111,Northeast,English
5/1/2024,18-34,Male,Content & Complacent,Enhanced,122,South,English
5/1/2024,18-34,Male,Content & Complacent,Premium,153,Northeast,English
5/1/2024,18-34,Male,Unengaged,Basic,154,South,English
5/1/2024,18-34,Male,Unengaged,Enhanced,198,West,English
5/1/2024,18-34,Male,Unengaged,Premium,145,West,English
5/1/2024,18-34,Female,Highly Engaged,Basic,155,Midwest,Spanish
5/1/2024,18-34,Female,Highly Engaged,Enhanced,180,South,English
5/1/2024,18-34,Female,Highly Engaged,Premium,169,Midwest,Vietnamese
5/1/2024,18-34,Female,Reactive Engagers,Basic,205,Northeast,English
5/1/2024,18-34,Female,Reactive Engagers,Enhanced,209,Midwest,English
5/1/2024,18-34,Female,Reactive Engagers,Premium,117,West,English
